string_external_id,abundance
10090.ENSMUSP00000107795,13489
10090.ENSMUSP00000140657,12358
10090.ENSMUSP00000015800,12056
10090.ENSMUSP00000110886,8977
10090.ENSMUSP00000023934,8668
10090.ENSMUSP00000095794,8668
10090.ENSMUSP00000026459,8588
10090.ENSMUSP00000001304,8366
10090.ENSMUSP00000022629,7459
10090.ENSMUSP00000042342,6216
10090.ENSMUSP00000090895,5643
10090.ENSMUSP00000090897,5643
10090.ENSMUSP00000031131,5073
10090.ENSMUSP00000034834,4893
10090.ENSMUSP00000110103,4631
10090.ENSMUSP00000099475,4589
10090.ENSMUSP00000117987,4467
10090.ENSMUSP00000027123,4238
10090.ENSMUSP00000094778,4213
10090.ENSMUSP00000004378,4160
10090.ENSMUSP00000097797,4150
10090.ENSMUSP00000026495,4028
10090.ENSMUSP00000042457,3987
10090.ENSMUSP00000076777,3957
10090.ENSMUSP00000109907,3811
10090.ENSMUSP00000099922,3759
10090.ENSMUSP00000022894,3724
10090.ENSMUSP00000018851,3597
10090.ENSMUSP00000039269,3576
10090.ENSMUSP00000070993,3512
10090.ENSMUSP00000051033,3442
10090.ENSMUSP00000112259,3422
10090.ENSMUSP00000098066,3349
10090.ENSMUSP00000113942,3346
10090.ENSMUSP00000071486,3334
10090.ENSMUSP00000030636,3324
10090.ENSMUSP00000075513,3275
10090.ENSMUSP00000079727,3275
10090.ENSMUSP00000099938,3206
10090.ENSMUSP00000084846,3072
10090.ENSMUSP00000074724,3033
10090.ENSMUSP00000097747,2987
10090.ENSMUSP00000011896,2964
10090.ENSMUSP00000091921,2937
10090.ENSMUSP00000031314,2917
10090.ENSMUSP00000025379,2840
10090.ENSMUSP00000076577,2752
10090.ENSMUSP00000020024,2750
10090.ENSMUSP00000024739,2721
10090.ENSMUSP00000023116,2668
10090.ENSMUSP00000028727,2545
10090.ENSMUSP00000022529,2508
10090.ENSMUSP00000071134,2469
10090.ENSMUSP00000060246,2460
10090.ENSMUSP00000110314,2409
10090.ENSMUSP00000099902,2382
10090.ENSMUSP00000042658,2380
10090.ENSMUSP00000028062,2369
10090.ENSMUSP00000071135,2344
10090.ENSMUSP00000130858,2312
10090.ENSMUSP00000051223,2309
10090.ENSMUSP00000089051,2261
10090.ENSMUSP00000019323,2233
10090.ENSMUSP00000029046,2183
10090.ENSMUSP00000043074,2150
10090.ENSMUSP00000138396,2124
10090.ENSMUSP00000084713,2088
10090.ENSMUSP00000085580,2088
10090.ENSMUSP00000079905,2080
10090.ENSMUSP00000075178,2068
10090.ENSMUSP00000034097,2048
10090.ENSMUSP00000001566,2020
10090.ENSMUSP00000088618,2019
10090.ENSMUSP00000046101,2006
10090.ENSMUSP00000007012,1993
10090.ENSMUSP00000000317,1972
10090.ENSMUSP00000003912,1969
10090.ENSMUSP00000026122,1932
10090.ENSMUSP00000032373,1930
10090.ENSMUSP00000028683,1897
10090.ENSMUSP00000102147,1851
10090.ENSMUSP00000102062,1837
10090.ENSMUSP00000048425,1797
10090.ENSMUSP00000100067,1790
10090.ENSMUSP00000018470,1785
10090.ENSMUSP00000087974,1785
10090.ENSMUSP00000047008,1765
10090.ENSMUSP00000023583,1698
10090.ENSMUSP00000115723,1687
10090.ENSMUSP00000030212,1675
10090.ENSMUSP00000130668,1668
10090.ENSMUSP00000020238,1658
10090.ENSMUSP00000124509,1657
10090.ENSMUSP00000127526,1654
10090.ENSMUSP00000080302,1635
10090.ENSMUSP00000114159,1620
10090.ENSMUSP00000025474,1615
10090.ENSMUSP00000054556,1610
10090.ENSMUSP00000034588,1608
10090.ENSMUSP00000044502,1601
10090.ENSMUSP00000099536,1597
10090.ENSMUSP00000099364,1595
10090.ENSMUSP00000138955,1593
10090.ENSMUSP00000092223,1591
10090.ENSMUSP00000068374,1571
10090.ENSMUSP00000111002,1570
10090.ENSMUSP00000029078,1570
10090.ENSMUSP00000030805,1565
10090.ENSMUSP00000029266,1558
10090.ENSMUSP00000099819,1556
10090.ENSMUSP00000083375,1553
10090.ENSMUSP00000102213,1547
10090.ENSMUSP00000106519,1543
10090.ENSMUSP00000109795,1514
10090.ENSMUSP00000016463,1478
10090.ENSMUSP00000034049,1465
10090.ENSMUSP00000103267,1459
10090.ENSMUSP00000059404,1441
10090.ENSMUSP00000107595,1433
10090.ENSMUSP00000041347,1422
10090.ENSMUSP00000006435,1401
10090.ENSMUSP00000069004,1398
10090.ENSMUSP00000099409,1365
10090.ENSMUSP00000005292,1355
10090.ENSMUSP00000021217,1347
10090.ENSMUSP00000075067,1336
10090.ENSMUSP00000048218,1326
10090.ENSMUSP00000095927,1326
10090.ENSMUSP00000003754,1314
10090.ENSMUSP00000032233,1306
10090.ENSMUSP00000022293,1286
10090.ENSMUSP00000028926,1285
10090.ENSMUSP00000032998,1273
10090.ENSMUSP00000020504,1269
10090.ENSMUSP00000030164,1268
10090.ENSMUSP00000085400,1241
10090.ENSMUSP00000034586,1226
10090.ENSMUSP00000046185,1222
10090.ENSMUSP00000027438,1221
10090.ENSMUSP00000092698,1217
10090.ENSMUSP00000047571,1215
10090.ENSMUSP00000082682,1215
10090.ENSMUSP00000049355,1213
10090.ENSMUSP00000022638,1210
10090.ENSMUSP00000052872,1201
10090.ENSMUSP00000001989,1195
10090.ENSMUSP00000016396,1191
10090.ENSMUSP00000042095,1190
10090.ENSMUSP00000101874,1179
10090.ENSMUSP00000000090,1176
10090.ENSMUSP00000095316,1173
10090.ENSMUSP00000104731,1158
10090.ENSMUSP00000019109,1155
10090.ENSMUSP00000023707,1149
10090.ENSMUSP00000064787,1137
10090.ENSMUSP00000023269,1136
10090.ENSMUSP00000025904,1126
10090.ENSMUSP00000089346,1108
10090.ENSMUSP00000038781,1108
10090.ENSMUSP00000072197,1106
10090.ENSMUSP00000026196,1106
10090.ENSMUSP00000068479,1099
10090.ENSMUSP00000119975,1098
10090.ENSMUSP00000136922,1097
10090.ENSMUSP00000070709,1094
10090.ENSMUSP00000020630,1090
