#id: 952965544
#name: H.sapiens - Lymph node (Integrated)
#score: 37.2
#coverage: 53
#description: integrated dataset: weighted average of all H.sapiens LYMPH_NODE: 37.2, Coverage: 53
#organ: LYMPH_NODE
#integrated: true
#weights: lymph_node_Wilhelm_2014_Maxquant:0.909;PXD010154_Wang_Mol_Syst_Bio_2019_human_deep_proteome_Lymph_node:0.091;
#publication_year: 2023
#filename: 9606-LYMPH_NODE-integrated.txt
#
#string_external_id	abundance
9606.ENSP00000370010	59488
9606.ENSP00000333994	22282
9606.ENSP00000295897	13655
9606.ENSP00000229239	12482
9606.ENSP00000251595	9971
9606.ENSP00000322421	9971
9606.ENSP00000233143	6866
9606.ENSP00000458162	6736
9606.ENSP00000419425	6196
9606.ENSP00000432660	6162
9606.ENSP00000234590	5892
9606.ENSP00000345347	5882
9606.ENSP00000228945	5577
9606.ENSP00000418770	5545
9606.ENSP00000339063	5025
9606.ENSP00000269321	5010
9606.ENSP00000270142	5003
9606.ENSP00000262746	4405
9606.ENSP00000369654	4189
9606.ENSP00000301522	4185
9606.ENSP00000344547	4086
9606.ENSP00000432282	3966
9606.ENSP00000229270	3875
9606.ENSP00000346694	3767
9606.ENSP00000379287	3644
9606.ENSP00000300026	3462
9606.ENSP00000362413	3440
9606.ENSP00000430656	3433
9606.ENSP00000438144	3331
9606.ENSP00000349960	3280
9606.ENSP00000416066	3106
9606.ENSP00000236850	3050
9606.ENSP00000446007	2972
9606.ENSP00000296930	2964
9606.ENSP00000219150	2955
9606.ENSP00000270792	2929
9606.ENSP00000346032	2727
9606.ENSP00000283179	2697
9606.ENSP00000261313	2667
9606.ENSP00000379386	2637
9606.ENSP00000357076	2608
9606.ENSP00000249071	2436
9606.ENSP00000359991	2410
9606.ENSP00000372155	2366
9606.ENSP00000446252	2341
9606.ENSP00000320176	2325
9606.ENSP00000357709	2301
9606.ENSP00000353408	2283
9606.ENSP00000355315	2274
9606.ENSP00000370125	2272
9606.ENSP00000365439	2213
9606.ENSP00000295685	2179
9606.ENSP00000296511	2176
9606.ENSP00000366109	2151
9606.ENSP00000446215	2137
9606.ENSP00000360609	2126
9606.ENSP00000345848	2105
9606.ENSP00000445175	2099
9606.ENSP00000346550	2087
9606.ENSP00000378786	2060
9606.ENSP00000361930	2037
9606.ENSP00000339566	1980
9606.ENSP00000225655	1899
9606.ENSP00000381607	1883
9606.ENSP00000378669	1860
9606.ENSP00000381581	1858
9606.ENSP00000349428	1841
9606.ENSP00000320866	1829
9606.ENSP00000252244	1819
9606.ENSP00000264335	1806
9606.ENSP00000417864	1803
9606.ENSP00000296503	1799
9606.ENSP00000320171	1793
9606.ENSP00000325240	1784
9606.ENSP00000246662	1784
9606.ENSP00000349748	1747
9606.ENSP00000335153	1744
9606.ENSP00000313199	1744
9606.ENSP00000361883	1736
9606.ENSP00000431254	1718
9606.ENSP00000263097	1709
9606.ENSP00000327070	1678
9606.ENSP00000373620	1674
9606.ENSP00000385958	1672
9606.ENSP00000341826	1638
9606.ENSP00000307705	1631
9606.ENSP00000385834	1620
9606.ENSP00000383118	1575
9606.ENSP00000307940	1567
9606.ENSP00000269576	1567
9606.ENSP00000451291	1560
9606.ENSP00000290378	1536
9606.ENSP00000362329	1494
9606.ENSP00000358866	1468
9606.ENSP00000348461	1461
9606.ENSP00000357516	1457
9606.ENSP00000216802	1448
9606.ENSP00000361626	1447
9606.ENSP00000248553	1444
9606.ENSP00000299767	1442
9606.ENSP00000355228	1424
9606.ENSP00000305556	1423
9606.ENSP00000339001	1422
9606.ENSP00000391481	1417
9606.ENSP00000263697	1385
9606.ENSP00000300289	1378
9606.ENSP00000216714	1337
9606.ENSP00000319281	1325
9606.ENSP00000371267	1319
9606.ENSP00000244534	1309
9606.ENSP00000397843	1273
9606.ENSP00000389631	1247
9606.ENSP00000432083	1244
9606.ENSP00000472469	1215
9606.ENSP00000316029	1211
9606.ENSP00000364935	1210
9606.ENSP00000478828	1203
9606.ENSP00000217182	1192
9606.ENSP00000427687	1191
9606.ENSP00000341289	1188
9606.ENSP00000358727	1179
9606.ENSP00000359675	1177
9606.ENSP00000263168	1158
9606.ENSP00000376800	1138
9606.ENSP00000345957	1135
9606.ENSP00000336829	1131
9606.ENSP00000254301	1130
9606.ENSP00000364721	1126
9606.ENSP00000410452	1124
9606.ENSP00000263238	1123
9606.ENSP00000316176	1109
9606.ENSP00000376309	1108
9606.ENSP00000356042	1108
9606.ENSP00000477781	1105
9606.ENSP00000318195	1105
9606.ENSP00000345230	1099
9606.ENSP00000367615	1098
9606.ENSP00000361777	1081
9606.ENSP00000263368	1077
9606.ENSP00000405965	1072
9606.ENSP00000378812	1065
9606.ENSP00000261735	1060
9606.ENSP00000420065	1058
9606.ENSP00000354532	1058
9606.ENSP00000262030	1058
9606.ENSP00000362820	1053
9606.ENSP00000376652	1042
9606.ENSP00000357705	1039
9606.ENSP00000474560	1031
9606.ENSP00000272317	1026
9606.ENSP00000422392	1022
9606.ENSP00000298510	1015
9606.ENSP00000402373	992
9606.ENSP00000301071	991
9606.ENSP00000276079	988
9606.ENSP00000348170	988
9606.ENSP00000401010	986
9606.ENSP00000342026	986
9606.ENSP00000386857	986
9606.ENSP00000355645	981
9606.ENSP00000306361	969
9606.ENSP00000245907	968
9606.ENSP00000307199	965
9606.ENSP00000389103	965
9606.ENSP00000321259	958
9606.ENSP00000369965	945
9606.ENSP00000356275	937
9606.ENSP00000435096	933
9606.ENSP00000411355	931
9606.ENSP00000381736	928
9606.ENSP00000262193	922
9606.ENSP00000228825	922
9606.ENSP00000246533	913
9606.ENSP00000400175	913
9606.ENSP00000324173	912
9606.ENSP00000388107	900
9606.ENSP00000301329	897
9606.ENSP00000405573	886
9606.ENSP00000351022	885
9606.ENSP00000400142	885
9606.ENSP00000265062	884
9606.ENSP00000339467	881
9606.ENSP00000388169	878
9606.ENSP00000359804	873
9606.ENSP00000290349	871
9606.ENSP00000285379	869
9606.ENSP00000252603	865
9606.ENSP00000325548	864
9606.ENSP00000250495	863
9606.ENSP00000271308	863
9606.ENSP00000470972	859
9606.ENSP00000298316	858
9606.ENSP00000466134	852
9606.ENSP00000302896	850
9606.ENSP00000253024	850
9606.ENSP00000362924	845
9606.ENSP00000376345	837
9606.ENSP00000439012	824
9606.ENSP00000327801	824
9606.ENSP00000444357	820
9606.ENSP00000381216	819
9606.ENSP00000346067	818
9606.ENSP00000435777	809
9606.ENSP00000338413	806
9606.ENSP00000356982	799
9606.ENSP00000355759	795
9606.ENSP00000407375	794
9606.ENSP00000369757	794
9606.ENSP00000351777	794
9606.ENSP00000263867	793
9606.ENSP00000306099	785
9606.ENSP00000340466	783
9606.ENSP00000346921	782
9606.ENSP00000452762	781
9606.ENSP00000336687	780
9606.ENSP00000262878	774
9606.ENSP00000313829	774
9606.ENSP00000312999	772
9606.ENSP00000216455	772
9606.ENSP00000367263	766
9606.ENSP00000296412	765
9606.ENSP00000377446	763
9606.ENSP00000354826	756
9606.ENSP00000325376	756
9606.ENSP00000221419	752
9606.ENSP00000477639	747
9606.ENSP00000369538	743
9606.ENSP00000336702	742
9606.ENSP00000393241	742
9606.ENSP00000362463	739
9606.ENSP00000262428	738
9606.ENSP00000417653	737
9606.ENSP00000354468	736
9606.ENSP00000168216	736
9606.ENSP00000463784	734
9606.ENSP00000298159	731
9606.ENSP00000428209	727
9606.ENSP00000323929	723
9606.ENSP00000429150	719
9606.ENSP00000330074	718
9606.ENSP00000411825	717
9606.ENSP00000366694	716
9606.ENSP00000309539	714
9606.ENSP00000266718	713
9606.ENSP00000366525	706
9606.ENSP00000431049	706
9606.ENSP00000346103	702
9606.ENSP00000285930	695
9606.ENSP00000356652	693
9606.ENSP00000356671	693
9606.ENSP00000398610	692
9606.ENSP00000211998	692
9606.ENSP00000254108	689
9606.ENSP00000385385	688
9606.ENSP00000360305	681
9606.ENSP00000357113	680
9606.ENSP00000331897	680
9606.ENSP00000463154	675
9606.ENSP00000379838	673
9606.ENSP00000226299	672
9606.ENSP00000388806	669
9606.ENSP00000225430	669
9606.ENSP00000225777	665
9606.ENSP00000293831	664
9606.ENSP00000381992	661
9606.ENSP00000307786	658
9606.ENSP00000299300	657
9606.ENSP00000404121	657
9606.ENSP00000261366	651
9606.ENSP00000233893	651
9606.ENSP00000290541	649
9606.ENSP00000349923	649
9606.ENSP00000216181	648
9606.ENSP00000351646	643
9606.ENSP00000336799	641
9606.ENSP00000259006	637
9606.ENSP00000400433	634
9606.ENSP00000306565	634
9606.ENSP00000367542	633
9606.ENSP00000351108	631
9606.ENSP00000293288	631
9606.ENSP00000354346	624
9606.ENSP00000305230	617
9606.ENSP00000216254	616
9606.ENSP00000255945	615
9606.ENSP00000370074	614
9606.ENSP00000480946	613
9606.ENSP00000472249	609
9606.ENSP00000278572	608
9606.ENSP00000443189	606
9606.ENSP00000446955	606
9606.ENSP00000268182	605
9606.ENSP00000234313	601
9606.ENSP00000485133	595
9606.ENSP00000261070	595
9606.ENSP00000357283	595
9606.ENSP00000362744	594
9606.ENSP00000294742	594
9606.ENSP00000261479	594
9606.ENSP00000420311	589
9606.ENSP00000379888	589
9606.ENSP00000221418	589
9606.ENSP00000367196	588
9606.ENSP00000286091	586
9606.ENSP00000312734	586
9606.ENSP00000338703	585
9606.ENSP00000275603	585
9606.ENSP00000392330	581
9606.ENSP00000385269	578
9606.ENSP00000391592	577
9606.ENSP00000310226	576
9606.ENSP00000316042	575
9606.ENSP00000347495	574
9606.ENSP00000352438	574
9606.ENSP00000266732	574
9606.ENSP00000478061	574
9606.ENSP00000265983	573
9606.ENSP00000217426	572
9606.ENSP00000360034	571
9606.ENSP00000367220	571
9606.ENSP00000301072	571
9606.ENSP00000225174	570
9606.ENSP00000451080	570
9606.ENSP00000228740	570
9606.ENSP00000264933	569
9606.ENSP00000222005	569
9606.ENSP00000241052	568
9606.ENSP00000310861	567
9606.ENSP00000248975	566
9606.ENSP00000430706	566
9606.ENSP00000262613	565
9606.ENSP00000346173	563
9606.ENSP00000346050	562
9606.ENSP00000448598	560
9606.ENSP00000401564	558
9606.ENSP00000270625	558
9606.ENSP00000355518	557
9606.ENSP00000273258	555
9606.ENSP00000433277	555
9606.ENSP00000362638	553
9606.ENSP00000440005	552
9606.ENSP00000337632	552
9606.ENSP00000414359	550
9606.ENSP00000358099	549
9606.ENSP00000306330	548
9606.ENSP00000044462	548
9606.ENSP00000248437	547
9606.ENSP00000313432	547
9606.ENSP00000362334	547
9606.ENSP00000297785	546
9606.ENSP00000481878	546
9606.ENSP00000450085	544
9606.ENSP00000376840	542
9606.ENSP00000367154	541
9606.ENSP00000358840	541
9606.ENSP00000432279	538
9606.ENSP00000357535	537
9606.ENSP00000376276	535
9606.ENSP00000412189	532
9606.ENSP00000236671	531
9606.ENSP00000009530	528
9606.ENSP00000350090	524
9606.ENSP00000342056	522
9606.ENSP00000377833	522
9606.ENSP00000322439	520
9606.ENSP00000362946	519
9606.ENSP00000224073	519
9606.ENSP00000265260	517
9606.ENSP00000221130	516
9606.ENSP00000279227	515
9606.ENSP00000370115	510
9606.ENSP00000277865	510
9606.ENSP00000359910	507
9606.ENSP00000324422	507
9606.ENSP00000279022	506
9606.ENSP00000301785	506
9606.ENSP00000223500	506
9606.ENSP00000223641	505
9606.ENSP00000356969	503
9606.ENSP00000421725	502
9606.ENSP00000380921	501
9606.ENSP00000252699	500
9606.ENSP00000367038	499
9606.ENSP00000426909	498
9606.ENSP00000364016	498
9606.ENSP00000294119	494
9606.ENSP00000377941	493
9606.ENSP00000255040	492
9606.ENSP00000259818	491
9606.ENSP00000371554	490
9606.ENSP00000341524	487
9606.ENSP00000348849	486
9606.ENSP00000377640	485
9606.ENSP00000354394	485
9606.ENSP00000280154	483
9606.ENSP00000303356	482
9606.ENSP00000393887	482
9606.ENSP00000386284	481
9606.ENSP00000429243	480
9606.ENSP00000300935	480
9606.ENSP00000346088	480
9606.ENSP00000380033	480
9606.ENSP00000346827	480
9606.ENSP00000217121	478
9606.ENSP00000052754	478
9606.ENSP00000265866	477
9606.ENSP00000399888	477
9606.ENSP00000220764	476
9606.ENSP00000357858	475
9606.ENSP00000245932	474
9606.ENSP00000215754	474
