#id: 3902734007
#name: H.sapiens - Whole organism (Integrated)
#score: 35.5
#coverage: 99
#description: integrated dataset: weighted average of all H.sapiens WHOLE_ORGANISM: 35.5, Coverage: 99
#organ: WHOLE_ORGANISM
#integrated: true
#weights: Human_PeptideAtlas_2011-08_Ens62.new:0.338;9606-PA_201408:0.304;9606_GPM_201408:0.178;Human_iBAQ_Khan_2013:0.089;peptideatlaBuild_March2009.peptides.new:0.064;GPM_2012_09_Homo_sapiens_-_ensembl:0.02;HsapiensBuild242_May2010.peptides.new:0.007;
#publication_year: 2023
#filename: 9606-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
9606.ENSP00000370010	48363
9606.ENSP00000356969	21659
9606.ENSP00000360522	18666
9606.ENSP00000295897	15334
9606.ENSP00000259396	13790
9606.ENSP00000236850	12198
9606.ENSP00000237014	11807
9606.ENSP00000229239	10529
9606.ENSP00000465356	10167
9606.ENSP00000265983	8452
9606.ENSP00000227667	7812
9606.ENSP00000458162	6532
9606.ENSP00000349960	6499
9606.ENSP00000393887	6393
9606.ENSP00000252490	6282
9606.ENSP00000466775	6282
9606.ENSP00000416066	5982
9606.ENSP00000394936	5661
9606.ENSP00000345179	5121
9606.ENSP00000333994	5103
9606.ENSP00000419425	4783
9606.ENSP00000356671	4717
9606.ENSP00000348170	4695
9606.ENSP00000225655	4627
9606.ENSP00000251595	4600
9606.ENSP00000322421	4600
9606.ENSP00000339063	4062
9606.ENSP00000362924	4019
9606.ENSP00000421725	3898
9606.ENSP00000388107	3660
9606.ENSP00000320171	3641
9606.ENSP00000446007	3515
9606.ENSP00000205948	3490
9606.ENSP00000339001	3468
9606.ENSP00000245907	3277
9606.ENSP00000306099	3230
9606.ENSP00000234590	3222
9606.ENSP00000385834	3210
9606.ENSP00000264613	3004
9606.ENSP00000292401	2939
9606.ENSP00000296028	2812
9606.ENSP00000432083	2767
9606.ENSP00000272317	2765
9606.ENSP00000252244	2745
9606.ENSP00000356399	2665
9606.ENSP00000296930	2605
9606.ENSP00000373620	2501
9606.ENSP00000378669	2494
